function,swarmsize,dim,maxiter,w,c1,c2,duration,best_iter,best_val,best_pos
quadratic,100,2,150,0.60,1.50,1.30,0.001561,149,3.99104e-29,"-4.24179e-15;4.68163e-15"
quadratic,100,2,150,0.60,1.50,1.50,0.002287,145,2.09986e-28,"1.44004e-14;-1.61704e-15"
quadratic,100,2,150,0.60,1.50,1.70,0.002064,147,5.32214e-26,"1.72842e-13;1.52797e-13"
quadratic,100,2,150,0.60,1.50,2.00,0.000682,145,2.44079e-26,"-7.20599e-14;1.38619e-13"
quadratic,100,2,150,0.60,1.70,1.00,0.001073,149,5.50798e-30,"2.23782e-15;-7.07204e-16"
quadratic,100,2,150,0.60,1.70,1.30,0.000720,150,5.9268e-29,"4.29775e-15;-6.38728e-15"
quadratic,100,2,150,0.60,1.70,1.50,0.000685,150,1.43367e-28,"1.19731e-14;1.12856e-16"
quadratic,100,2,150,0.60,1.70,1.70,0.000681,142,7.08734e-27,"3.36001e-14;-7.71905e-14"
quadratic,100,2,150,0.60,1.70,2.00,0.000685,148,1.11763e-22,"7.31063e-12;-7.63662e-12"
quadratic,100,2,150,0.60,2.00,1.00,0.000685,150,4.3338e-27,"6.58278e-14;7.06577e-16"
quadratic,100,2,150,0.60,2.00,1.30,0.000689,146,2.1795e-24,"-1.47549e-12;4.91766e-14"
quadratic,100,2,150,0.60,2.00,1.50,0.000661,147,7.89297e-24,"2.10005e-12;1.86622e-12"
quadratic,100,2,150,0.60,2.00,1.70,0.000733,148,1.99262e-22,"1.37074e-11;3.37195e-12"
quadratic,100,2,150,0.60,2.00,2.00,0.000672,150,1.19117e-19,"-8.63466e-13;-3.45133e-10"
quadratic,100,2,150,0.80,1.00,1.00,0.000668,148,1.62421e-16,"3.22645e-09;1.23293e-08"
quadratic,100,2,150,0.80,1.00,1.30,0.000670,145,7.69815e-16,"-2.51193e-08;-1.17829e-08"
quadratic,100,2,150,0.80,1.00,1.50,0.000659,144,6.95202e-12,"4.58224e-07;-2.59655e-06"
quadratic,100,2,150,0.80,1.00,1.70,0.000670,142,6.71865e-14,"-4.63068e-08;2.55034e-07"
quadratic,100,2,150,0.80,1.00,2.00,0.000669,148,2.65794e-12,"1.37003e-06;8.83715e-07"
quadratic,100,2,150,0.80,1.30,1.00,0.000693,146,3.03015e-15,"-5.04788e-08;-2.19555e-08"
quadratic,100,2,150,0.80,1.30,1.30,0.000712,107,1.87158e-14,"1.36792e-07;1.96256e-09"
quadratic,100,2,150,0.80,1.30,1.50,0.001105,145,4.69394e-14,"-2.16008e-07;1.67254e-08"
quadratic,100,2,150,0.80,1.30,1.70,0.000643,142,5.6614e-14,"-8.3665e-08;2.22742e-07"
quadratic,100,2,150,0.80,1.30,2.00,0.000648,150,4.01099e-11,"6.23708e-06;-1.09944e-06"
quadratic,100,2,150,0.80,1.50,1.00,0.000620,141,1.05723e-13,"3.07962e-07;1.04321e-07"
quadratic,100,2,150,0.80,1.50,1.30,0.000632,150,2.40519e-14,"1.4475e-07;5.5673e-08"
quadratic,100,2,150,0.80,1.50,1.50,0.000632,143,1.3671e-12,"3.90225e-07;-1.10219e-06"
quadratic,100,2,150,0.80,1.50,1.70,0.000627,138,3.9582e-11,"-5.99166e-06;1.91883e-06"
quadratic,100,2,150,0.80,1.50,2.00,0.000622,140,6.10585e-10,"-2.39982e-05;-5.88826e-06"
quadratic,100,2,150,0.80,1.70,1.00,0.000640,131,2.66681e-14,"1.61359e-07;2.513e-08"
quadratic,100,2,150,0.80,1.70,1.30,0.000635,147,8.8271e-12,"2.76571e-06;1.08534e-06"
quadratic,100,2,150,0.80,1.70,1.50,0.000632,141,6.80253e-12,"-1.85471e-06;-1.83373e-06"
quadratic,100,2,150,0.80,1.70,1.70,0.000646,135,2.02879e-12,"6.47368e-07;-1.26874e-06"
quadratic,100,2,150,0.80,1.70,2.00,0.000635,147,7.55634e-11,"8.03952e-06;-3.30597e-06"
quadratic,100,2,150,0.80,2.00,1.00,0.000627,149,1.40643e-11,"1.94503e-06;3.20643e-06"
quadratic,100,2,150,0.80,2.00,1.30,0.000632,145,2.78488e-12,"-1.05074e-06;1.29647e-06"
quadratic,100,2,150,0.80,2.00,1.50,0.000633,146,1.13227e-10,"1.00897e-05;3.37999e-06"
