function,dimensions,swarmsize,omega,phip,phig,max_iter,best_position,best_value,total_time(s)
quadratic,2,25,0.5,1.8,1.0,250,[-1.24521558e-32 -1.84399327e-32],4.950873012202352e-64,0.15954303741455078
rastrigin,2,25,0.5,1.8,1.0,250,[-6.22579673e-10  1.91306791e-09],0.0,0.2380998134613037
quadratic,5,25,0.5,1.8,1.0,250,"[-6.34777767e-30 -4.09354505e-31 -3.69588580e+00  4.64773496e+00
 -4.02409558e+00]",4.046185240154407e-59,0.15780854225158691
rastrigin,5,25,0.5,1.8,1.0,250,"[ 1.43510471e-09 -9.94958637e-01  9.60848651e-10  2.05491349e-09
 -9.94958640e-01]",1.9899181141865796,0.20612049102783203
quadratic,2,25,0.5,1.0,1.8,60,[ 4.13037946e-08 -3.89474510e-08],3.2229073888620573e-15,0.03693103790283203
rastrigin,2,25,0.5,1.0,1.8,60,[ 2.13712209e-07 -1.20719117e-07],1.1951328815484885e-11,0.08121347427368164
quadratic,5,25,0.5,1.0,1.8,60,"[ 1.30354650e-09 -3.51289852e-08  5.12000000e+00 -5.12000000e+00
  5.12000000e+00]",1.235744837295185e-15,0.06869339942932129
rastrigin,5,25,0.5,1.0,1.8,60,"[-9.94907718e-01  9.94902998e-01 -1.02311907e-04  9.95073355e-01
 -1.98980416e+00]",6.96471648847492,0.11318206787109375
quadratic,2,25,0.5,1.0,1.8,250,[-2.07348234e-28 -3.78214650e-28],1.8603961148553935e-55,0.152785062789917
rastrigin,2,25,0.5,1.0,1.8,250,[-7.12238843e-10 -3.19052694e-09],0.0,0.1964094638824463
quadratic,5,25,0.5,1.0,1.8,250,"[ 6.86729690e-30 -1.92499550e-30  1.08084148e+00 -2.64058472e-01
 -4.41856886e+00]",5.08653743915593e-59,0.14191198348999023
rastrigin,5,25,0.5,1.0,1.8,250,"[ 2.17292786e-09 -1.21898696e-09 -1.19330270e-09 -4.30704022e-09
 -9.94958638e-01]",0.9949590570932898,0.18853425979614258
quadratic,2,25,0.5,1.0,1.0,60,[-5.84814176e-10  4.75689966e-09],2.2970101965772573e-17,0.031839609146118164
rastrigin,2,25,0.5,1.0,1.0,60,[1.62760396e-09 1.59282934e-09],0.0,0.045831918716430664
quadratic,5,25,0.5,1.0,1.0,60,"[-1.63010481e-09 -1.34406130e-09 -2.66101773e+00 -5.12000000e+00
  5.03751480e+00]",4.463742459884346e-18,0.03050827980041504
rastrigin,5,25,0.5,1.0,1.0,60,"[-9.94963885e-01 -9.94962817e-01  5.58420857e-06  9.94928150e-01
 -1.63817753e-06]",2.9848773712327628,0.04835844039916992
quadratic,2,25,0.5,1.0,1.0,250,[-3.04906783e-35  2.89350982e-35],1.7669213736095716e-69,0.1254274845123291
rastrigin,2,25,0.5,1.0,1.0,250,[ 2.38158489e-10 -9.94958638e-01],0.9949590570932898,0.18317604064941406
quadratic,5,25,0.5,1.0,1.0,250,"[ 1.39858971e-35 -2.23650850e-36  3.84823374e-01  2.46798746e+00
 -4.03417832e+00]",2.006072890296353e-70,0.11753153800964355
rastrigin,5,25,0.5,1.0,1.0,250,"[-1.99003539e+00 -3.20502898e-07  1.98986243e+00 -9.94963760e-01
  2.85143009e-06]",8.954624939074918,0.19172382354736328
